PLACEID,CHANGETYPE,ATTRIBUTENAME,PRIMARY,LANGUAGECODE,NAMETYPE,BASETEXT,PREVIOUS_NAMETYPE,PREVIOUS_LANGUAGECODE,PREVIOUS_BASETEXT
036r3grr-7db7c8b57da920187f48e524ba0a173b,UPDATE,NAME,TRUE,en,OFFICIAL,Gladesville Bridge,OFFICIAL,en,Old Gladesville Bridge Pier
036r3grw-0cc01143d4894fd3b05977421688cd80,UPDATE,NAME,TRUE,en,OFFICIAL,Brenda Colahan Fine Art,OFFICIAL,en,Brenda Colahan Fine Art - Art Valuers. Art Advisors
036r3gx2-af379998427192a4f76b317f74e56325,UPDATE,NAME,TRUE,en,OFFICIAL,Carpentaria,OFFICIAL,en,Cls4 Carpentaria
036r652k-0fb3c9aaba4b47849ce0ca283367d722,UPDATE,NAME,TRUE,en,OFFICIAL,Historic Roughley House,OFFICIAL,en,Roughley House
036r3gr5-10214831bc34d939792618e247409241,UPDATE,NAME,TRUE,en,OFFICIAL,Garrison Point,OFFICIAL,en,Garrison Point Reserve Playground
036jx7ps-6ef562e86b81093ba2c498231774aba8,UPDATE,NAME,TRUE,en,OFFICIAL,Artsite,OFFICIAL,en,Artsite Contemporary
036r3gry-24f413a90f90fd743d5c75dec362c009,UPDATE,NAME,TRUE,en,OFFICIAL,Macquarie University,OFFICIAL,en,Macquarie University History Museum
036r6525-e221086c2af326cc3953222256c3d337,UPDATE,NAME,TRUE,en,OFFICIAL,Decorlish Living to Design,OFFICIAL,en,"Decorlish Wall Art Paintings Wholesale Store,Decorlish Wall Art Paintings"
036r3gnm-6b152e5732746a1029c95659df44a9c6,UPDATE,NAME,TRUE,en,OFFICIAL,Camden History,OFFICIAL,en,Former Camden Railway Station Site
036r3gqt-5d133f1713924c8586f77080c58f5eca,UPDATE,NAME,TRUE,en,OFFICIAL,Oatley 101,OFFICIAL,en,Oatley 101 Society of Artists
036r3grm-6074998bd9df484bba3ee429c437ad36,UPDATE,NAME,TRUE,en,OFFICIAL,Sydney Olympic Park Authority,OFFICIAL,en,Sydney International Aquatic and Athletic Centres
036r3gx3-30386c46c2d1f55cdbb330fa9e245398,UPDATE,NAME,TRUE,en,OFFICIAL,Robert Cornelius Joyner,OFFICIAL,en,Robert Cornelius Joyne Plaque
036aabd1-25a56d5d8885067f171dd01db754314b,UPDATE,NAME,TRUE,en,OFFICIAL,Q Station,OFFICIAL,en,Q Station Manly - History Experience
