PLACEID,CHANGETYPE,ATTRIBUTENAME,PLACESTATUS
036r652q-87e03a6dea62fdc7333bf4ea4c462575,UPDATE,STATUS,INACTIVE
036r3gqz-dfa25f51ff93ee3602b9b7f748d3c3ae,UPDATE,STATUS,INACTIVE
036r3gr6-51386e0e0edb4676866547ae657fca31,UPDATE,STATUS,INACTIVE
036r3grw-b289224cb5a34d509043d4ae730c19c5,UPDATE,STATUS,INACTIVE
0368lxx5-4d7d479f77fc07579e4961a79a9900f1,UPDATE,STATUS,INACTIVE
036r3grs-87bb7252d2b54835b2e9e3cc81d0d3b0,UPDATE,STATUS,INACTIVE
036r652q-0cf1379a798b4279bb45f47350ac31f3,UPDATE,STATUS,INACTIVE
036r3gx9-e3977196539c4d559f65612b6b753ea3,UPDATE,STATUS,INACTIVE
036r3grh-8b6ce90ee86f4df6b87e7026bab4e13e,UPDATE,STATUS,INACTIVE
036af69f-9be8365322512671e08d45a70817b427,UPDATE,STATUS,INACTIVE
0368lxx5-39b26e771a960652d429c8ee97eec49c,UPDATE,STATUS,INACTIVE
0368lxx5-4b0611fe6dbf0300829354bad9c815be,UPDATE,STATUS,INACTIVE
036jx7ps-792e624fb81b097c61ec5ea3731e5448,UPDATE,STATUS,INACTIVE
036r3grj-137679e253060be82e50ee1122f9cf5b,UPDATE,STATUS,INACTIVE
036r3gr4-c99fd8bcc76249f9b669162b81654c35,UPDATE,STATUS,INACTIVE
036r3gx8-ca0cb3e43a5f4ff3a11961a07e799860,UPDATE,STATUS,INACTIVE
036r3gx2-e114ce7824278c72fee03cc8fbc5d45c,UPDATE,STATUS,INACTIVE
036r3grn-0862d818bb614e23b9b810dc4073c247,UPDATE,STATUS,INACTIVE
0368lxx5-3ae0c360ac480fc2c9247df014cfd524,UPDATE,STATUS,INACTIVE
036a1352-eef9aa342112db0c74db70f55c699127,UPDATE,STATUS,INACTIVE
036jx7ps-d3496e54dfdf0ab546e78ab5033ce087,UPDATE,STATUS,INACTIVE
036r3gx0-6c2513f1221cb1b4da22383f730f6159,UPDATE,STATUS,INACTIVE
036r3gx2-bc60113f3efcac68a70a88f93265f1f8,UPDATE,STATUS,INACTIVE
036r3gx0-97e0e3ece6c546b08c3af8161661101e,UPDATE,STATUS,INACTIVE
036r652h-b907c5aecd724eb683b13129bb77f5d2,UPDATE,STATUS,INACTIVE
036r3gqy-86969a2b2cbf79aec3998a139aa055d0,UPDATE,STATUS,INACTIVE
0368lxx5-169bb12f2fc907a5540e6aed62c9c145,UPDATE,STATUS,INACTIVE
036r3gnp-0afacb095428b8fd9a6982fe61a77cd6,UPDATE,STATUS,INACTIVE
036r6526-ef2c812da63044e0bad2a35d22a8b809,UPDATE,STATUS,INACTIVE
036r3gx3-2cbc84c5098f1f6c65552739cb94861e,UPDATE,STATUS,INACTIVE
036r3gqs-cee436d780af4a6296af7ec6aabf3303,UPDATE,STATUS,INACTIVE
036r3gpy-80ceb2fbcf5ccb6c3314ba96076bd095,UPDATE,STATUS,INACTIVE
036r3grm-1a80bd43fbeb48b2be28931fb56de39b,UPDATE,STATUS,INACTIVE
036r3gx0-683777678f167e7a0d37797803ede07b,UPDATE,STATUS,INACTIVE
036r3gr9-92f25b67dde94ecfaa6f67ca9d44f3e7,UPDATE,STATUS,INACTIVE
036r3grq-a8a599f8fb5eed9bc82cdd5421241ab3,UPDATE,STATUS,INACTIVE
036r3gx3-ce28a0a96de861dc1dfd4c664187aba5,UPDATE,STATUS,INACTIVE
036r3gx3-5e89eb0e8a134776b57ec5bc88fd0ee0,UPDATE,STATUS,INACTIVE
036r3gxf-daefb008567252105c785a79afc7545c,UPDATE,STATUS,INACTIVE
036r3grt-6e5a86f199b8bdeb8a26387e1a5578d8,UPDATE,STATUS,INACTIVE
036r3gr4-4880c69987de4d198cddcd9b61507bcd,UPDATE,STATUS,INACTIVE
036r3grw-a706f1f139ba4326ad6a183e09d39f0b,UPDATE,STATUS,INACTIVE
036r3grs-ded942d88c434cd89b529403e17b7a0a,UPDATE,STATUS,INACTIVE
036r3gx2-712feb71470a5f3c85b007687457a83a,UPDATE,STATUS,INACTIVE
036r3grp-be1e0f54d5ad5557bb03c48640d1332f,UPDATE,STATUS,INACTIVE
0361r4ve-780092135b170b75fb5aa5e941cb2981,UPDATE,STATUS,INACTIVE
036r652q-98b95e873c68459fba2020d84f4cdacb,UPDATE,STATUS,INACTIVE
036r3gqt-2666d2afcb0503145712a9c9c85cb3a2,UPDATE,STATUS,INACTIVE
0362d8d0-a6d2207a271d5d8057cb0102cd5657ea,UPDATE,STATUS,INACTIVE
036r3gx9-54b893057e2849e2831f5296f8a9e6e7,UPDATE,STATUS,INACTIVE
036r3grx-2b1df930b808272fb88dc76be86c6a16,UPDATE,STATUS,INACTIVE
036r3gq9-141a46df7c3b2d4da7ab8781fbba24d8,UPDATE,STATUS,INACTIVE
036jx7ps-300d904c040f0f30f6981ba4e77abf6f,UPDATE,STATUS,INACTIVE
036d408k-53f59ab40f31023a615677ef3b7244b3,UPDATE,STATUS,INACTIVE
036r3gx9-35c0b47a8e914156a40c10df78107bf2,UPDATE,STATUS,INACTIVE
036r3gqz-0b6db87ea6500102c3b4e0314fc4e773,UPDATE,STATUS,INACTIVE
0368lxx5-d11f4a10bd630665f7de71d41e5e1ae3,UPDATE,STATUS,INACTIVE
036r3gx2-e23bc16dcacb8b69bc5f0b5b758a4226,UPDATE,STATUS,INACTIVE
036r3gx0-8ff2a68528f6d5dc484432eab4909ac2,UPDATE,STATUS,INACTIVE
03658e78-3720f3777e52c39c0943a1b864b5d654,UPDATE,STATUS,INACTIVE
036r3grc-f577793c67de4daf95156c47e3b10b9d,UPDATE,STATUS,INACTIVE
036r3grp-0ee85ae75a9c45e8b9714139737c44e5,UPDATE,STATUS,INACTIVE
036r3gx8-37b1d89763ded53ca731bd16c29154df,UPDATE,STATUS,INACTIVE
036r3grm-63b8c2adf306f05bff5681321b5d071c,UPDATE,STATUS,INACTIVE
036r3gx2-d5395544c23040ddb1b529695042bb20,UPDATE,STATUS,INACTIVE
036r3gqm-8f9f136f3bf4b0b63288520e01d2e613,UPDATE,STATUS,INACTIVE
036r3gx0-be9f99c64c0d4317ad969db1cb885a88,UPDATE,STATUS,INACTIVE
036r3gx2-0a78c1e7f4f54cb7a3f66ba014f0e7cf,UPDATE,STATUS,INACTIVE
036r3grw-9781e5166d6545faaaa2d0421325673f,UPDATE,STATUS,INACTIVE
0368lxx5-a18307e6e2e5048a3f082708c55da2b5,UPDATE,STATUS,INACTIVE
036r3gnp-e34317c4c3d6c7fea2fc65e51a260703,UPDATE,STATUS,INACTIVE
036r3gxd-f65ba2b90fda4c7b83f842be0004aa83,UPDATE,STATUS,INACTIVE
036r3gx0-b5041c3baf1409a5fd136e0a5c666aae,UPDATE,STATUS,INACTIVE
